latitude,longitude,room_type,property_type,accommodates,bedrooms,bathrooms,beds,number_of_reviews,reviews_per_month,review_scores_rating,minimum_nights,maximum_nights,availability_365,instant_bookable,host_is_superhost,price
43.77264,11.26422,Entire home/apt,Entire rental unit,4,1.0,1.0,1.0,21.0,0.25,4.67,7,30,260,0.0,0.0,116.0
43.78125,11.261927604675291,Entire home/apt,Entire condo,10,4.0,4.0,7.0,98.0,1.15,4.91,1,1125,255,0.0,1.0,366.0
43.76646,11.30488,Entire home/apt,Entire home,3,1.0,1.0,2.0,20.0,0.24,5.0,1,28,312,0.0,0.0,127.0
43.80947,11.23498,Private room,Private room in home,3,1.0,1.0,2.0,27.0,0.31,4.78,2,30,180,0.0,1.0,63.0
43.80947,11.23498,Private room,Private room in home,2,1.0,1.0,2.0,54.0,0.62,4.72,2,30,180,0.0,1.0,60.0
43.76229,11.2725,Entire home/apt,Entire rental unit,4,2.0,1.0,3.0,229.0,2.64,4.87,3,730,228,0.0,0.0,94.0
43.77339,11.25078,Private room,Private room in rental unit,3,1.0,1.0,2.0,22.0,0.25,4.73,1,1125,0,0.0,0.0,93.0
43.76881,11.25653,Entire home/apt,Entire rental unit,2,1.0,1.0,2.0,108.0,1.25,4.84,2,1125,321,1.0,0.0,164.0
43.7722,11.2651,Private room,Private room in rental unit,2,1.0,2.0,1.0,277.0,3.18,4.85,1,30,265,1.0,1.0,152.0
43.77279,11.25111,Private room,Private room in rental unit,2,1.0,1.0,1.0,26.0,0.3,4.8,1,1125,0,0.0,0.0,93.0
43.77189,11.25616,Entire home/apt,Entire condo,2,1.0,1.0,1.0,136.0,1.56,4.9,2,30,102,1.0,0.0,383.0
43.78966,11.24309,Private room,Private room in home,2,1.0,1.0,2.0,6.0,0.07,4.6,2,28,282,1.0,1.0,94.0
43.79159,11.24308,Private room,Private room in home,2,1.0,1.0,2.0,22.0,0.25,5.0,2,28,292,1.0,1.0,94.0
43.783,11.2649,Entire home/apt,Entire rental unit,4,2.0,2.0,2.0,65.0,0.75,4.69,2,29,356,1.0,1.0,170.0
